,Unnamed: 0,election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes,StreetAddress,City,State,ZipCode,category,NonReligious,ReligiousBuilding,BuildingType,Latitude,Longitude
34,34,11/3/2020,IA,Audubon,Audubon,county,2,Precinct 2,0,election_day,EXIRA EVENT CENTER,"106 N JEFFERSON, EXIRA, IA 50076",0,ORR,10/9/2020,0,106 N JEFFERSON,EXIRA,IA,50076,NonReligious,1,0,NonReligious,41.59027692,-94.87627121
35,35,11/3/2020,IA,Benton,Benton,county,BG,Precinct Bg,0,election_day,VAN HORNE COMMUNITY CENTER,"508 1ST AVE, VAN HORNE, IA 52346",0,ORR,10/9/2020,0,508 1ST AVE,VAN HORNE,IA,52346,NonReligious,1,0,NonReligious,42.00751077,-92.09123861
36,36,11/3/2020,IA,Benton,Benton,county,BN,Precinct Bn,0,election_day,SHELLSBURG LEGION HALL,"114 MAIN STREET SW, SHELLSBURG, IA 52332",0,ORR,10/9/2020,0,114 MAIN STREET SW,SHELLSBURG,IA,52332,NonReligious,1,0,NonReligious,42.09449925,-91.86970314
37,37,11/3/2020,IA,Benton,Benton,county,BP1,Precinct Bp1,0,election_day,BELLE PLAINE COMMUNITY CENTER RSVP RM,"1309 5TH AVE, BELLE PLAINE, IA 52208",0,ORR,10/9/2020,0,1309 5TH AVE,BELLE PLAINE,IA,52208,NonReligious,1,0,NonReligious,41.89714906,-92.28142841
38,38,11/3/2020,IA,Benton,Benton,county,BP2,Precinct Bp2,0,election_day,BELLE PLAINE COMMUNITY CENTER DINING ROOM,"1309 5TH AVENUE, BELLE PLAINE, IA 52208",0,ORR,10/9/2020,0,1309 5TH AVENUE,BELLE PLAINE,IA,52208,NonReligious,1,0,NonReligious,41.89714906,-92.28142841
39,39,11/3/2020,IA,Benton,Benton,county,BP3,Precinct Bp3,0,election_day,BELLE PLAINE FIRE STATION,"504 13TH STREET, BELLE PLAINE, IA 52208",0,ORR,10/9/2020,0,504 13TH STREET,BELLE PLAINE,IA,52208,NonReligious,1,0,NonReligious,41.89710002,-92.27993907
40,40,11/3/2020,IA,Benton,Benton,county,BR,Precinct Br,0,election_day,CEDAR-MT AUBURN HALL FIRE STATION,"203 2ND STREET, MT. AUBURN, IA 52313",0,ORR,10/9/2020,0,203 2ND STREET,MT. AUBURN,IA,52313,NonReligious,1,0,NonReligious,42.25521899,-92.091919
41,41,11/3/2020,IA,Benton,Benton,county,ED,Precinct Ed,0,election_day,BENTON COUNTY COURTHOUSE,"111 E 4TH STREET, VINTON, IA 52349",0,ORR,10/9/2020,0,111 E 4TH STREET,VINTON,IA,52349,NonReligious,1,0,NonReligious,42.1677364,-92.02308491
42,42,11/3/2020,IA,Benton,Benton,county,EL,Precinct El,0,election_day,NEWHALL CITY HALL,"11 2ND AVE, NEWHALL, IA 52315",0,ORR,10/9/2020,0,11 2ND AVE,NEWHALL,IA,52315,NonReligious,1,0,NonReligious,41.9954852,-91.9700023
43,43,11/3/2020,IA,Benton,Benton,county,FL,Precinct Fl,0,election_day,ST. MICHAEL'S PARISH CENTER,"512 EVERGREEN STREET, NORWAY, IA 52318",0,ORR,10/9/2020,0,512 EVERGREEN STREET,NORWAY,IA,52318,ReligiousBuilding,0,1,Religious,41.90263751,-91.92569421
44,44,11/3/2020,IA,Benton,Benton,county,FR,Precinct Fr,0,election_day,ST STEPHENS FELLOWSHIP HALL,"303 3RD AVE, ATKINS, IA 52206",0,ORR,10/9/2020,0,303 3RD AVE,ATKINS,IA,52206,NonReligious,1,0,NonReligious,41.99264447,-91.86520033
45,45,11/3/2020,IA,Benton,Benton,county,HO,Precinct Ho,0,election_day,GARRISON FIRE STATION,"204 N SYCAMORE STREET, GARRISON, IA 52229",0,ORR,10/9/2020,0,204 N SYCAMORE STREET,GARRISON,IA,52229,NonReligious,1,0,NonReligious,42.14523502,-92.1437848
