,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
801,Ames 1-1,2425,400,234,634,287,776,1063,0,0,0,0,0,0,0,1,1,1,2,3,31,31,62,0,3,3,1,3,4,4,11,15,1785,Story Ames 1-1
802,Ames 1-2,2873,288,174,462,244,821,1065,0,0,0,2,1,3,0,0,0,1,2,3,19,7,26,0,0,0,7,2,9,0,3,3,1571,Story Ames 1-2
803,Ames 1-3/Grant 2,2559,277,240,517,292,669,961,0,0,0,1,1,2,0,0,0,4,3,7,28,19,47,1,0,1,2,1,3,3,5,8,1546,Story Ames 1-3/Grant 2
804,Ames 1-4,2318,151,163,314,243,969,1212,0,2,2,1,1,2,0,0,0,4,4,8,17,15,32,0,1,1,1,3,4,3,3,6,1581,Story Ames 1-4
805,Ames 1-5,2383,317,308,625,188,1057,1245,0,1,1,2,2,4,0,0,0,3,3,6,18,12,30,0,1,1,0,2,2,3,6,9,1923,Story Ames 1-5
806,Ames 2-1,2594,215,138,353,267,951,1218,0,0,0,1,0,1,0,1,1,2,4,6,13,8,21,0,1,1,2,2,4,3,2,5,1610,Story Ames 2-1
807,Ames 2-2,2093,192,182,374,217,780,997,0,0,0,1,2,3,0,1,1,6,2,8,20,12,32,1,0,1,7,3,10,3,2,5,1431,Story Ames 2-2
808,Ames 2-3,2158,272,265,537,193,944,1137,1,1,2,1,0,1,0,1,1,0,1,1,9,10,19,0,0,0,2,4,6,3,2,5,1709,Story Ames 2-3
809,Ames 2-4,2526,322,404,726,200,1054,1254,1,0,1,1,1,2,0,1,1,2,5,7,9,8,17,0,1,1,2,2,4,7,10,17,2030,Story Ames 2-4
810,Ames 2-5,3036,432,563,995,216,1343,1559,1,2,3,1,0,1,0,0,0,1,3,4,13,23,36,0,0,0,2,3,5,5,9,14,2617,Story Ames 2-5
811,Ames 3-1/Wash 2,2929,296,344,640,279,1153,1432,0,1,1,1,3,4,0,0,0,4,4,8,17,21,38,0,0,0,1,1,2,3,7,10,2135,Story Ames 3-1/Wash 2
812,Ames 3-2,1764,206,101,307,296,485,781,2,2,4,0,0,0,0,0,0,2,1,3,28,15,43,1,0,1,3,0,3,6,3,9,1151,Story Ames 3-2
813,Ames 3-3,2013,236,139,375,321,560,881,0,1,1,0,0,0,0,0,0,1,5,6,26,8,34,1,0,1,4,1,5,2,2,4,1307,Story Ames 3-3
814,Ames 3-4,2755,310,277,587,378,1028,1406,1,1,2,0,2,2,0,0,0,5,3,8,29,5,34,0,0,0,1,0,1,4,5,9,2049,Story Ames 3-4
815,Ames 3-5/Wash 3,2184,225,198,423,211,906,1117,0,0,0,0,0,0,0,0,0,6,2,8,21,17,38,0,0,0,0,1,1,5,1,6,1593,Story Ames 3-5/Wash 3
816,Ames 4-1,3613,484,96,580,479,409,888,3,1,4,1,0,1,0,0,0,3,1,4,14,4,18,1,0,1,5,1,6,3,1,4,1506,Story Ames 4-1
817,Ames 4-2,1704,137,20,157,106,74,180,0,0,0,1,0,1,0,0,0,0,1,1,4,1,5,0,0,0,1,0,1,0,0,0,345,Story Ames 4-2
818,Ames 4-3,1832,165,28,193,250,187,437,1,0,1,3,0,3,0,0,0,1,0,1,8,4,12,0,0,0,7,0,7,0,0,0,654,Story Ames 4-3
819,Ames 4-4,2481,211,153,364,309,733,1042,0,0,0,1,0,1,0,0,0,2,0,2,21,8,29,0,0,0,5,2,7,2,2,4,1449,Story Ames 4-4
820,Ames 4-5,2311,246,312,558,211,950,1161,0,1,1,0,0,0,0,0,0,6,1,7,13,14,27,1,0,1,0,2,2,0,7,7,1764,Story Ames 4-5
821,Collins/Collins,586,261,72,333,57,61,118,0,0,0,1,0,1,0,0,0,0,0,0,8,2,10,1,0,1,2,1,3,1,0,1,467,Story Collins/Collins
822,Franklin/Gilbert,2853,632,579,1211,235,905,1140,2,0,2,1,3,4,0,0,0,2,5,7,19,11,30,0,0,0,6,5,11,3,8,11,2416,Story Franklin/Gilbert
823,Grant Twp,324,68,78,146,27,90,117,0,1,1,0,0,0,0,0,0,0,1,1,5,2,7,0,0,0,1,0,1,0,0,0,273,Story Grant Twp
824,Howard/Roland,1420,500,174,674,182,318,500,0,2,2,0,0,0,0,0,0,2,0,2,11,5,16,1,0,1,0,0,0,0,2,2,1197,Story Howard/Roland
825,Huxley,2886,946,373,1319,356,707,1063,1,0,1,0,2,2,0,1,1,2,2,4,33,21,54,0,0,0,6,1,7,6,6,12,2463,Story Huxley
826,Indian Creek/Maxwell,1125,436,152,588,110,192,302,0,0,0,0,1,1,0,0,0,2,1,3,9,1,10,0,0,0,1,0,1,0,2,2,907,Story Indian Creek/Maxwell
827,Lafayette Twp,320,127,54,181,22,65,87,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,0,1,274,Story Lafayette Twp
828,Lincoln/Zearing,541,214,83,297,68,61,129,1,0,1,0,1,1,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,431,Story Lincoln/Zearing
829,Milford Twp,448,119,75,194,32,113,145,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,0,1,1,348,Story Milford Twp
830,Nevada 1,1152,236,179,415,89,338,427,1,1,2,1,1,2,1,0,1,1,4,5,11,4,15,0,0,0,2,0,2,2,2,4,873,Story Nevada 1
831,Nevada 2,1126,192,167,359,117,361,478,1,0,1,0,0,0,1,0,1,0,2,2,4,9,13,0,0,0,1,3,4,1,0,1,859,Story Nevada 2
832,Nevada 3/Grant 3,1255,235,229,464,102,391,493,0,0,0,0,1,1,0,0,0,3,1,4,7,8,15,0,0,0,1,0,1,1,5,6,984,Story Nevada 3/Grant 3
833,Nevada 4,1194,253,217,470,105,341,446,0,1,1,0,3,3,0,0,0,3,3,6,8,12,20,0,0,0,0,0,0,1,0,1,947,Story Nevada 4
834,Nevada Twp,569,168,129,297,57,119,176,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,2,2,481,Story Nevada Twp
835,New Albany/Colo,840,299,140,439,99,118,217,0,0,0,1,0,1,0,0,0,0,1,1,9,3,12,1,0,1,1,1,2,0,0,0,673,Story New Albany/Colo
836,Palestine Twp,635,195,131,326,43,143,186,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,2,2,0,0,0,0,1,1,523,Story Palestine Twp
837,Richland Twp,271,121,36,157,19,53,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,232,Story Richland Twp
838,Sherman Twp,143,70,15,85,8,16,24,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,113,Story Sherman Twp
839,Slater/Sheldahl,1312,444,141,585,201,274,475,1,0,1,1,0,1,0,0,0,0,0,0,21,6,27,0,1,1,2,1,3,1,2,3,1096,Story Slater/Sheldahl
840,Story City,2497,629,450,1079,226,689,915,0,0,0,2,0,2,0,1,1,1,4,5,20,13,33,0,1,1,3,1,4,5,0,5,2045,Story Story City
841,Union/Cambridge,970,351,107,458,124,190,314,0,0,0,0,0,0,0,0,0,0,1,1,18,1,19,0,1,1,2,4,6,1,0,1,800,Story Union/Cambridge
842,Warren/McCallsburg,403,178,60,238,50,43,93,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,0,0,0,0,1,1,1,0,1,338,Story Warren/McCallsburg
843,Washington/Kelley,653,192,112,304,64,158,222,1,0,1,0,0,0,0,0,0,3,0,3,5,2,7,0,0,0,0,0,0,2,3,5,542,Story Washington/Kelley
844,Blockton,0,109,37,146,17,13,30,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,178,Taylor Blockton
845,Clearfield,0,126,42,168,17,33,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,220,Taylor Clearfield
846,Gravity,0,128,54,182,20,27,47,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,232,Taylor Gravity
847,New Market,0,237,117,354,45,48,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,450,Taylor New Market
848,Lenox,0,442,202,644,108,200,308,1,0,1,0,1,1,0,0,0,1,0,1,5,1,6,0,0,0,2,2,4,3,2,5,970,Taylor Lenox
849,Bedford City,0,338,283,621,44,99,143,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4,0,0,0,2,1,3,0,0,0,772,Taylor Bedford City
850,Township District 3,0,196,152,348,22,53,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,0,0,427,Taylor Township District 3
851,Birmingham,753,319,142,461,47,68,115,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,2,2,4,0,1,1,586,VanBuren Birmingham
852,Bonaparte,682,287,97,384,42,80,122,1,0,1,1,0,1,1,0,1,1,1,2,4,0,4,0,0,0,1,0,1,0,1,1,517,VanBuren Bonaparte
853,Cantril,308,109,65,174,14,32,46,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,224,VanBuren Cantril
854,Douds,574,265,90,355,33,58,91,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,2,3,453,VanBuren Douds
855,Farmington,637,284,76,360,61,46,107,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,2,1,3,473,VanBuren Farmington
856,Keosauqua,1363,373,345,718,83,217,300,1,0,1,0,0,0,1,0,1,1,0,1,4,3,7,0,0,0,0,0,0,2,1,3,1031,VanBuren Keosauqua
857,Milton,416,159,71,230,28,27,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,286,VanBuren Milton
858,Stockport,318,138,39,177,21,18,39,0,0,0,1,1,2,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,221,VanBuren Stockport
859,Allen 2,1360,425,175,600,172,293,465,0,2,2,0,0,0,1,0,1,1,1,2,15,4,19,0,0,0,2,0,2,4,0,4,1095,Warren Allen 2
860,Allen 3,1813,527,305,832,240,393,633,2,0,2,1,0,1,0,0,0,1,0,1,10,12,22,0,0,0,2,3,5,0,1,1,1497,Warren Allen 3
861,Belmont,260,115,63,178,21,25,46,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,227,Warren Belmont
862,Cumming/West Des Moines,519,188,110,298,55,133,188,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,0,0,0,0,0,4,1,5,496,Warren Cumming/West Des Moines
863,Greenfield 1,1134,282,285,567,77,331,408,1,1,2,1,0,1,0,0,0,0,0,0,6,3,9,0,0,0,1,1,2,0,1,1,990,Warren Greenfield 1
864,Greenfield 1/ DM85,1197,310,210,520,119,351,470,0,0,0,1,0,1,0,0,0,1,1,2,8,6,14,0,0,0,0,1,1,2,1,3,1011,Warren Greenfield 1/ DM85
865,Greenfield 1/ DM86,109,29,23,52,14,25,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,95,Warren Greenfield 1/ DM86
866,Greenfield 2/ Lincoln 2,1718,450,502,952,69,426,495,2,0,2,0,2,2,0,0,0,1,0,1,8,10,18,0,0,0,0,1,1,0,2,2,1473,Warren Greenfield 2/ Lincoln 2
867,Indianola 1,1177,214,286,500,91,327,418,2,0,2,0,1,1,0,0,0,0,1,1,12,6,18,0,0,0,0,0,0,1,0,1,941,Warren Indianola 1
868,Indianola 2,2029,284,397,681,133,574,707,0,2,2,1,2,3,0,0,0,2,1,3,18,14,32,0,0,0,1,1,2,0,5,5,1435,Warren Indianola 2
869,Indianola 3,899,168,144,312,60,293,353,1,0,1,1,0,1,0,0,0,1,0,1,4,3,7,0,1,1,0,0,0,1,2,3,679,Warren Indianola 3
870,Indianola 4,1989,289,590,879,98,714,812,0,0,0,2,0,2,0,0,0,1,1,2,7,6,13,0,0,0,1,4,5,0,5,5,1718,Warren Indianola 4
871,Indianola 5,1353,351,295,646,84,366,450,0,0,0,0,0,0,0,0,0,1,0,1,10,11,21,0,1,1,1,1,2,0,3,3,1124,Warren Indianola 5
872,Indianola 6,1212,240,295,535,87,329,416,0,0,0,1,1,2,0,0,0,3,0,3,10,3,13,0,0,0,3,1,4,0,0,0,973,Warren Indianola 6
873,Indianola 7,2142,424,482,906,144,560,704,0,3,3,0,4,4,0,1,1,1,1,2,14,12,26,0,0,0,0,4,4,2,1,3,1653,Warren Indianola 7
874,Jackson,716,292,116,408,57,154,211,0,0,0,2,0,2,0,1,1,0,0,0,10,5,15,0,0,0,1,0,1,1,1,2,640,Warren Jackson
875,Jefferson,1340,490,286,776,118,280,398,0,3,3,0,2,2,0,0,0,0,1,1,13,7,20,0,0,0,0,0,0,0,3,3,1203,Warren Jefferson
876,Liberty,355,147,81,228,20,54,74,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,305,Warren Liberty
877,Lincoln 1,551,146,153,299,42,150,192,0,0,0,1,0,1,0,0,0,0,0,0,3,2,5,0,0,0,0,1,1,1,1,2,500,Warren Lincoln 1
878,Norwalk 1,2121,531,485,1016,218,618,836,0,1,1,1,0,1,0,0,0,0,1,1,21,11,32,0,1,1,4,2,6,2,1,3,1897,Warren Norwalk 1
879,Norwalk 2/ Greenfield 1,1720,468,328,796,205,487,692,0,2,2,0,1,1,0,0,0,2,5,7,15,4,19,0,0,0,0,0,0,0,3,3,1520,Warren Norwalk 2/ Greenfield 1
880,Norwalk 3/ Linn,2920,778,579,1357,316,837,1153,0,1,1,0,1,1,2,1,3,3,7,10,19,21,40,0,0,0,1,1,2,5,8,13,2580,Warren Norwalk 3/ Linn
881,Norwalk 4,2652,621,553,1174,225,814,1039,0,2,2,1,0,1,0,0,0,2,5,7,18,5,23,0,0,0,0,1,1,3,11,14,2261,Warren Norwalk 4
882,Otter/Milo,1188,454,265,719,104,196,300,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,0,0,0,1,0,1,1,1,2,1036,Warren Otter/Milo
883,Palmyra,413,171,78,249,31,66,97,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,1,1,2,353,Warren Palmyra
884,Richland/Palmyra,865,341,131,472,75,147,222,0,0,0,0,0,0,1,0,1,1,1,2,9,1,10,0,0,0,0,1,1,0,0,0,708,Warren Richland/Palmyra
885,Squaw Creek,542,259,94,353,39,94,133,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,0,0,0,1,0,1,0,0,0,492,Warren Squaw Creek
886,Union,393,151,78,229,29,76,105,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,1,0,1,1,0,1,342,Warren Union
887,Virgina,775,382,115,497,69,106,175,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10,0,0,0,1,0,1,1,1,2,685,Warren Virgina
888,White Breast,505,221,67,288,42,79,121,1,0,1,1,0,1,0,0,0,0,1,1,2,1,3,1,0,1,0,0,0,0,0,0,416,Warren White Breast
889,White Oak,808,263,200,463,57,165,222,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,0,0,0,1,0,1,2,0,2,694,Warren White Oak
890,A01 - Allerton,0,350,220,570,33,110,143,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,1,1,2,0,0,0,720,Wayne A01 - Allerton
891,C02 - Corydon,0,286,450,736,40,216,256,1,1,2,0,3,3,0,1,1,0,1,1,2,6,8,0,1,1,1,1,2,0,2,2,1012,Wayne C02 - Corydon
892,H03 - Humeston,0,293,200,493,63,113,176,0,0,0,0,1,1,0,0,0,1,0,1,2,2,4,0,0,0,1,1,2,3,0,3,680,Wayne H03 - Humeston
893,S04 - Seymour,0,369,170,539,47,105,152,0,0,0,0,1,1,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,1,0,1,697,Wayne S04 - Seymour
894,Buffalo Grant Lincoln,1079,438,171,609,103,166,269,0,0,0,0,1,1,1,0,1,1,0,1,10,1,11,0,0,0,1,0,1,0,1,1,894,Winnebago Buffalo Grant Lincoln
895,King Linden,573,219,112,331,33,91,124,1,0,1,1,0,1,0,1,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,462,Winnebago King Linden
896,FC3 Forest D3,747,181,152,333,57,171,228,0,0,0,1,0,1,0,0,0,0,0,0,8,6,14,0,0,0,1,1,2,3,2,5,583,Winnebago FC3 Forest D3
897,Forest City Ward 1,746,155,176,331,66,175,241,0,0,0,0,0,0,0,0,0,0,1,1,5,1,6,0,0,0,0,0,0,2,0,2,581,Winnebago Forest City Ward 1
898,Forest City Ward 2,639,160,77,237,84,136,220,0,0,0,1,0,1,0,0,0,1,0,1,5,1,6,0,0,0,3,0,3,0,0,0,468,Winnebago Forest City Ward 2
899,Forest City Ward 4,501,134,97,231,59,128,187,0,0,0,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,5,1,6,428,Winnebago Forest City Ward 4
900,Newton Forest,578,185,126,311,57,89,146,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,1,1,2,1,1,2,0,1,1,475,Winnebago Newton Forest
901,Center,1724,507,329,836,125,374,499,1,1,2,0,1,1,0,0,0,1,4,5,7,5,12,0,1,1,3,0,3,2,2,4,1363,Winnebago Center
902,Eden Logan Norway,447,169,84,253,45,73,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,373,Winnebago Eden Logan Norway
903,Mt Valley,400,130,105,235,22,81,103,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,2,0,0,0,343,Winnebago Mt Valley
904,1 Church of Jesus Christ of LD,0,299,410,709,110,532,642,0,1,1,1,1,2,0,0,0,0,1,1,6,5,11,1,0,1,0,1,1,1,2,3,1371,Woodbury 1 Church of Jesus Christ of LD
905,2 Cross Pointe Church,0,197,190,387,196,389,585,2,0,2,2,1,3,0,0,0,1,0,1,8,4,12,0,0,0,2,0,2,1,1,2,994,Woodbury 2 Cross Pointe Church
906,3 Concordia Lutheran Church,0,344,483,827,142,542,684,1,0,1,1,1,2,0,0,0,0,0,0,7,6,13,0,0,0,0,1,1,5,2,7,1535,Woodbury 3 Concordia Lutheran Church
907,4 Siouxland Center for Active,0,158,176,334,111,273,384,0,0,0,0,0,0,0,0,0,2,1,3,4,1,5,0,0,0,0,0,0,0,0,0,726,Woodbury 4 Siouxland Center for Active
908,5 Riverside Lutheran Church,0,350,284,634,165,412,577,1,1,2,0,1,1,0,1,1,1,2,3,5,3,8,0,0,0,0,1,1,1,1,2,1229,Woodbury 5 Riverside Lutheran Church
909,6 Faith Lutheran Church,0,214,287,501,166,509,675,0,0,0,1,0,1,0,0,0,0,0,0,1,6,7,0,0,0,4,1,5,5,6,11,1200,Woodbury 6 Faith Lutheran Church
910,7 Crescent Park School,0,244,299,543,122,437,559,0,0,0,0,3,3,0,0,0,0,1,1,9,8,17,0,0,0,2,2,4,0,1,1,1128,Woodbury 7 Crescent Park School
911,8 Mt. Zion Baptist Church,0,103,96,199,163,224,387,0,0,0,0,1,1,0,0,0,1,2,3,0,3,3,0,0,0,1,1,2,1,0,1,596,Woodbury 8 Mt. Zion Baptist Church
912,9 Boys & Girls Home,0,49,96,145,90,152,242,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,392,Woodbury 9 Boys & Girls Home
913,10 First Congregational Church,0,357,481,838,108,557,665,2,1,3,0,2,2,0,0,0,0,2,2,8,8,16,0,1,1,3,1,4,2,3,5,1536,Woodbury 10 First Congregational Church
914,11 Girls Inc.,0,47,96,143,108,197,305,0,1,1,0,2,2,0,0,0,1,0,1,3,1,4,0,0,0,0,3,3,0,2,2,461,Woodbury 11 Girls Inc.
915,12 St. John Lutheran Church,0,299,418,717,179,560,739,1,2,3,0,0,0,0,0,0,2,3,5,8,9,17,0,1,1,1,1,2,5,5,10,1494,Woodbury 12 St. John Lutheran Church
916,13 Sioux City Transit Building,0,216,218,434,78,241,319,1,0,1,0,1,1,0,0,0,1,3,4,2,4,6,0,0,0,1,0,1,0,0,0,766,Woodbury 13 Sioux City Transit Building
917,14 Boys & Girls Home,0,111,154,265,140,273,413,0,1,1,2,0,2,0,0,0,2,2,4,10,4,14,1,0,1,1,0,1,1,0,1,702,Woodbury 14 Boys & Girls Home
918,15 Peace Reformed Church -,0,362,598,960,120,421,541,0,1,1,1,1,2,0,1,1,0,2,2,4,15,19,0,0,0,0,0,0,3,2,5,1531,Woodbury 15 Peace Reformed Church -
919,16 Trimble United Methodist Ch,0,201,357,558,164,453,617,0,2,2,0,0,0,0,0,0,1,4,5,6,2,8,1,0,1,2,0,2,1,8,9,1202,Woodbury 16 Trimble United Methodist Ch
920,17 Sioux City Baptist Church,0,320,440,760,139,548,687,1,0,1,1,2,3,0,0,0,0,4,4,6,9,15,0,0,0,3,1,4,3,1,4,1478,Woodbury 17 Sioux City Baptist Church
921,18 Calvary Lutheran Church,0,362,425,787,163,429,592,0,1,1,0,0,0,2,1,3,1,2,3,12,7,19,1,3,4,1,0,1,4,2,6,1416,Woodbury 18 Calvary Lutheran Church
922,19 Central Baptist Church,0,317,548,865,133,590,723,1,1,2,0,1,1,0,0,0,2,2,4,5,10,15,0,1,1,0,2,2,1,2,3,1616,Woodbury 19 Central Baptist Church
923,20 Augustana Lutheran Church,0,74,139,213,106,281,387,0,1,1,1,2,3,0,0,0,1,2,3,3,2,5,0,1,1,2,1,3,2,4,6,622,Woodbury 20 Augustana Lutheran Church
924,21Morningside Lutheran Church,0,291,330,621,168,323,491,1,0,1,1,0,1,0,0,0,4,3,7,5,7,12,0,1,1,3,0,3,7,2,9,1146,Woodbury 21Morningside Lutheran Church
925,22 Morningside Branch Library,0,348,434,782,173,489,662,0,0,0,1,2,3,0,0,0,5,2,7,13,8,21,0,0,0,2,2,4,5,8,13,1492,Woodbury 22 Morningside Branch Library
926,23 Iglesia Restauracion Canaan,0,269,383,652,161,437,598,0,0,0,0,0,0,0,1,1,2,7,9,13,8,21,0,1,1,0,2,2,10,5,15,1299,Woodbury 23 Iglesia Restauracion Canaan
927,24 Washington Heights Chapel,0,362,476,838,134,426,560,0,1,1,1,1,2,0,1,1,2,2,4,9,9,18,0,0,0,1,0,1,1,1,2,1427,Woodbury 24 Washington Heights Chapel
928,25 Morningside College Eppley,0,332,338,670,158,411,569,0,0,0,0,0,0,0,1,1,1,3,4,9,14,23,0,0,0,0,0,0,3,6,9,1276,Woodbury 25 Morningside College Eppley
929,26 Morningside Bible Church,0,310,571,881,109,467,576,0,0,0,0,0,0,1,0,1,0,0,0,9,4,13,0,1,1,4,2,6,2,3,5,1483,Woodbury 26 Morningside Bible Church
930,27 St. James United Methodist,0,390,398,788,193,439,632,0,1,1,0,2,2,0,1,1,2,2,4,15,4,19,0,1,1,3,0,3,9,3,12,1463,Woodbury 27 St. James United Methodist
931,28 Redeemer Lutheran Church -,0,571,1421,1992,172,958,1130,2,0,2,0,1,1,0,0,0,1,0,1,11,12,23,1,0,1,4,6,10,6,7,13,3173,Woodbury 28 Redeemer Lutheran Church -
932,29 Sgt Bluff East -,0,642,670,1312,135,413,548,1,0,1,0,2,2,0,0,0,1,0,1,6,6,12,0,0,0,1,3,4,4,5,9,1889,Woodbury 29 Sgt Bluff East -
933,30 Sgt Bluff West,0,568,492,1060,148,382,530,0,0,0,1,1,2,0,0,0,1,2,3,3,2,5,0,0,0,2,1,3,0,2,2,1605,Woodbury 30 Sgt Bluff West
934,31 Salix -,0,333,156,489,66,113,179,1,0,1,1,1,2,0,0,0,0,1,1,2,0,2,0,1,1,0,0,0,2,1,3,678,Woodbury 31 Salix -
935,32 Bronson -,0,312,173,485,57,95,152,0,0,0,0,0,0,0,0,0,2,0,2,5,2,7,0,1,1,0,0,0,0,1,1,648,Woodbury 32 Bronson -
936,33 Pierson -,0,174,48,222,41,41,82,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,308,Woodbury 33 Pierson -
937,34 Correctionville -,0,310,112,422,43,102,145,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,0,1,1,2,3,575,Woodbury 34 Correctionville -
938,35 Moville -,0,721,395,1116,138,238,376,1,0,1,3,0,3,0,1,1,0,1,1,13,2,15,0,0,0,2,0,2,7,1,8,1523,Woodbury 35 Moville -
939,36 Lawton -,0,408,210,618,62,107,169,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,5,5,796,Woodbury 36 Lawton -
940,37 Climbing Hill -,0,156,61,217,27,44,71,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,1,0,1,293,Woodbury 37 Climbing Hill -
941,38 Sloan -,0,356,123,479,83,101,184,0,1,1,1,1,2,0,0,0,1,0,1,3,4,7,0,0,0,2,0,2,2,0,2,678,Woodbury 38 Sloan -
942,39 Hornick -,0,175,44,219,18,15,33,0,0,0,0,0,0,0,0,0,1,0,1,5,2,7,0,0,0,0,0,0,0,0,0,260,Woodbury 39 Hornick -
943,40 Anthon -,0,222,50,272,38,48,86,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,360,Woodbury 40 Anthon -
944,41 Danbury -,0,221,76,297,18,58,76,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,Woodbury 41 Danbury -
945,42 Smithland -,0,158,37,195,21,29,50,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,246,Woodbury 42 Smithland -
946,43 Oto -,0,75,30,105,20,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,Woodbury 43 Oto -
947,44 Cushing -,0,146,39,185,21,27,48,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,236,Woodbury 44 Cushing -
948,Belmond Precinct,2211,581,469,1050,168,439,607,1,1,2,0,0,0,0,1,1,2,0,2,11,6,17,0,0,0,4,1,5,0,2,2,1686,Wright Belmond Precinct
949,Clarion Precinct,1657,345,433,778,113,286,399,0,1,1,0,1,1,0,1,1,1,1,2,12,10,22,1,0,1,5,2,7,2,2,4,1216,Wright Clarion Precinct
950,Dows Precinct,499,165,85,250,48,82,130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,1,2,0,0,0,385,Wright Dows Precinct
951,Big 6 Precinct,821,177,317,494,24,151,175,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,2,0,2,0,0,0,0,1,1,680,Wright Big 6 Precinct
952,EG #1 Precinct,455,114,64,178,52,66,118,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1,0,1,2,0,2,0,0,0,303,Wright EG #1 Precinct
953,EG #2 Precinct,475,117,88,205,36,80,116,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,327,Wright EG #2 Precinct
954,EG #3 Precinct,551,182,112,294,42,81,123,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,0,0,0,421,Wright EG #3 Precinct
