,Precinct Name,Registered Voters,Trump Election Day,Trump Absentee,Trump Total,Biden Election Day,Biden Absentee,Biden Total,Rocky Election Day,Rocky Absentee,Rocky Total,Don Election Day,Don Absentee,Don Total,Ricki Election Day,Ricki Absentee,Ricki Total,Howie Election Day,Howie Absentee,Howie Total,Jo Election Day,Jo Absentee,Jo Total,Brock Election Day,Brock Absentee,Brock Total,Kayne Election Day,Kayne Absentee,Kayne Total,Write-in Election Day,Write-in Absentee,Write-in Total,Total Votes,Precinct
667,PLEASANT HILL 1,2184,595,280,875,307,535,842,0,0,0,0,0,0,0,0,0,1,3,4,17,14,31,0,0,0,3,2,5,2,0,2,1759,Polk PLEASANT HILL 1
668,PLEASANT HILL 2,2295,561,316,877,265,664,929,0,2,2,0,2,2,0,0,0,1,1,2,12,6,18,0,0,0,2,0,2,4,3,7,1839,Polk PLEASANT HILL 2
669,PLEASANT HILL 3,2682,832,336,1168,386,594,980,2,0,2,0,0,0,2,1,3,1,2,3,17,11,28,0,2,2,2,0,2,3,6,9,2197,Polk PLEASANT HILL 3
670,POLK CITY,3776,1388,492,1880,579,760,1339,4,1,5,2,1,3,0,1,1,3,0,3,33,15,48,0,0,0,4,3,7,9,7,16,3302,Polk POLK CITY
671,RUNNELLS,1667,768,183,951,200,261,461,0,0,0,2,1,3,0,0,0,0,1,1,18,7,25,0,0,0,2,1,3,1,0,1,1445,Polk RUNNELLS
672,SAYLOR 1,2023,683,239,922,243,490,733,0,0,0,1,2,3,0,0,0,0,1,1,8,6,14,0,1,1,3,2,5,2,4,6,1685,Polk SAYLOR 1
673,SAYLOR 2,1822,597,239,836,198,394,592,2,1,3,0,0,0,1,0,1,2,1,3,8,7,15,0,0,0,1,1,2,3,5,8,1460,Polk SAYLOR 2
674,SHELDAHL,345,166,50,216,37,45,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,301,Polk SHELDAHL
675,URBANDALE 1,2146,503,255,758,295,629,924,1,1,2,1,0,1,0,0,0,3,2,5,11,11,22,0,2,2,1,1,2,3,6,9,1725,Polk URBANDALE 1
676,URBANDALE 2,2339,524,298,822,328,749,1077,1,1,2,0,0,0,0,0,0,1,4,5,13,15,28,0,0,0,2,1,3,2,0,2,1939,Polk URBANDALE 2
677,URBANDALE 3,2228,478,230,708,340,702,1042,0,0,0,1,0,1,1,0,1,2,2,4,19,9,28,1,0,1,0,0,0,3,4,7,1792,Polk URBANDALE 3
678,URBANDALE 4,2078,503,325,828,205,734,939,2,0,2,0,0,0,0,0,0,0,0,0,8,5,13,0,0,0,2,1,3,1,5,6,1791,Polk URBANDALE 4
679,URBANDALE 5,2093,421,277,698,275,669,944,0,2,2,0,1,1,0,1,1,1,4,5,21,7,28,0,1,1,1,3,4,2,2,4,1688,Polk URBANDALE 5
680,URBANDALE 6,2202,370,275,645,274,767,1041,2,0,2,0,0,0,0,0,0,2,0,2,14,7,21,0,1,1,4,1,5,2,1,3,1720,Polk URBANDALE 6
681,URBANDALE 7,2485,605,369,974,290,827,1117,2,1,3,0,0,0,0,3,3,2,1,3,15,14,29,0,0,0,6,1,7,1,2,3,2139,Polk URBANDALE 7
682,URBANDALE 8,2221,501,240,741,324,706,1030,0,2,2,2,1,3,1,0,1,5,1,6,10,8,18,0,0,0,3,3,6,2,3,5,1812,Polk URBANDALE 8
683,URBANDALE 9,2301,503,299,802,316,764,1080,1,0,1,1,0,1,0,0,0,5,0,5,10,14,24,0,0,0,2,1,3,1,2,3,1919,Polk URBANDALE 9
684,URBANDALE 10,2309,522,377,899,259,782,1041,1,1,2,3,0,3,0,0,0,0,2,2,9,5,14,0,1,1,0,0,0,5,2,7,1969,Polk URBANDALE 10
685,URBANDALE 11,2263,472,424,896,203,750,953,1,0,1,1,0,1,0,0,0,1,1,2,3,7,10,0,0,0,1,1,2,1,7,8,1873,Polk URBANDALE 11
686,WASHINGTON,332,185,42,227,23,50,73,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,0,1,1,0,0,0,0,0,0,306,Polk WASHINGTON
687,WEBSTER,460,142,30,172,59,113,172,1,0,1,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,2,1,3,356,Polk WEBSTER
688,WEST DES MOINES 111,1691,334,168,502,285,548,833,0,0,0,1,1,2,0,1,1,1,6,7,13,6,19,1,0,1,3,5,8,3,6,9,1382,Polk WEST DES MOINES 111
689,WEST DES MOINES 112,1134,212,158,370,126,412,538,0,1,1,0,0,0,0,0,0,0,2,2,3,4,7,0,0,0,1,1,2,0,0,0,920,Polk WEST DES MOINES 112
690,WEST DES MOINES 113,1807,334,109,443,311,573,884,0,0,0,0,1,1,0,0,0,0,1,1,20,8,28,0,1,1,4,1,5,1,0,1,1364,Polk WEST DES MOINES 113
691,WEST DES MOINES 114,2308,427,310,737,267,927,1194,0,0,0,1,0,1,1,0,1,0,3,3,10,10,20,0,0,0,3,0,3,1,2,3,1962,Polk WEST DES MOINES 114
692,WEST DES MOINES 115,1512,324,194,518,185,529,714,1,2,3,1,0,1,0,0,0,0,1,1,9,7,16,1,0,1,0,0,0,3,1,4,1258,Polk WEST DES MOINES 115
693,WEST DES MOINES 116,2030,372,263,635,241,683,924,1,3,4,0,0,0,0,0,0,3,1,4,10,14,24,2,1,3,1,2,3,4,4,8,1605,Polk WEST DES MOINES 116
